Subject Head_Dist.cm Time Trial Message L_Pupil_Diameter.mm L_Event R_Pupil_Diameter.mm R_Event L_Missing.Total R_Missing.Total Stimulus PreTrial
11 70 -70.741 1 NA 5.9586 Fixation 6.145 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -66.735 1 NA 5.9593 Fixation 6.1483 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -62.73 1 NA 5.9611 Fixation 6.1494 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -58.724 1 NA 5.962 Fixation 6.1462 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -54.718 1 NA 5.9603 Fixation 6.1475 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -50.712 1 NA 5.9637 Fixation 6.1465 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -46.706 1 NA 5.9657 Fixation 6.1501 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -42.7 1 NA 5.9622 Fixation 6.1508 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -38.694 1 NA 5.9609 Fixation 6.1515 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -34.688 1 NA 5.9652 Fixation 6.1481 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -30.682 1 NA 5.9626 Fixation 6.1465 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -26.676 1 NA 5.9617000000000004 Fixation 6.1508 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -22.67 1 NA 5.9614 Fixation 6.1574 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -18.665 1 NA 5.9579 Fixation 6.1547 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -14.659 1 NA 5.957 Fixation 6.1468 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -10.653 1 NA 5.9526 Fixation 6.1467 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -6.647 1 NA 5.9536 Fixation 6.1442 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -2.641 1 NA 5.9521 Fixation 6.1464 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
